2020-07-08 20:16:59,061 [cluster-ClusterId{value='5f05b93a3525432f13b6b689', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:12}] to localhost:27017
2020-07-08 20:16:59,071 [cluster-ClusterId{value='5f05b93a3525432f13b6b689', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=5650839}
2020-07-08 20:16:59,073 [cluster-ClusterId{value='5f05b93a3525432f13b6b689', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 20:16:59,797 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 20:17:00,229 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:17:00,239 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 5.528 seconds (JVM running for 7.98)
2020-07-08 20:22:05,571 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 9696 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:22:05,587 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:22:07,251 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:22:07,297 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 33ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:22:08,889 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:22:08,946 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:22:08,948 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-07-08 20:22:08,979 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-07-08 20:22:08,979 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-07-08 20:22:08,980 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-07-08 20:22:08,989 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-07-08 20:22:09,768 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-07-08 20:22:09,769 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 4027 ms
2020-07-08 20:22:10,568 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-08 20:22:10,569 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-08 20:22:10,678 [cluster-ClusterId{value='5f05ba72a14f6e64ab4a4163', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:13}] to localhost:27017
2020-07-08 20:22:10,690 [cluster-ClusterId{value='5f05ba72a14f6e64ab4a4163', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=5272898}
2020-07-08 20:22:10,694 [cluster-ClusterId{value='5f05ba72a14f6e64ab4a4163', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 20:22:11,537 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 20:22:12,005 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:22:12,015 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 7.405 seconds (JVM running for 10.199)
2020-07-08 20:22:35,764 [http-nio-8080-exec-1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-08 20:22:35,765 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-07-08 20:22:35,821 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 56 ms
2020-07-08 20:32:16,132 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 7956 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:32:16,144 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:32:17,593 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:32:17,644 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 34ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:32:18,595 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:32:18,617 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:32:18,618 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
